title,year,description,genre
the green mile,1999,"Emerytowany strażnik więzienny opowiada przyjaciółce o niezwykłym mężczyźnie, którego skazano na śmierć za zabójstwo dwóch 9-letnich dziewczynek.",drama
the shawshank redemption,1994,"Adaptacja opowiadania Stephena Kinga. Niesłusznie skazany na dożywocie bankier, stara się przetrwać w brutalnym, więziennym świecie.",drama
requiem for a dream,2000,"Historia czwórki bohaterów, dla których używki są ucieczką przed otaczającą ich rzeczywistością.",drama
the silence of the lambs,1991,"Seryjny morderca i inteligentna agentka łączą siły, by znaleźć przestępcę obdzierającego ze skóry swoje ofiary.",thriller
gladiator,2000,"Generał Maximus - prawa ręka cesarza, szczęśliwy mąż i ojciec - w jednej chwili traci wszystko. Jako niewolnik-gladiator musi walczyć na arenie o przeżycie.",drama
avatar,2009,"Jake, sparaliżowany były komandos, zostaje wysłany na planetę Pandora, gdzie zaprzyjaźnia się z lokalną społecznością i postanawia jej pomóc. ",sci-fi
the sixth sense,1999,Psycholog dziecięcy próbuje pomóc ośmioletniemu chłopcu widzącemu zmarłych poradzić sobie z tym niezwykłym darem.,thriller
the hangover,2009,"Czterech przyjaciół spędza wieczór kawalerski w Las Vegas. Następnego dnia okazuje się, że zgubili pana młodego i nic nie pamiętają.",comedy
seven pounds,2008,"Mężczyzna przedstawiający się jako urzędnik podatkowy pojawia się w domach siedmiu śmiertelnie chorych dłużników, by sprawdzić jakimi są ludźmi. Ma dla nich niezwykły dar.",drama
inglourious basterds,2009,W okupowanej przez nazistów Francji oddział złożony z Amerykanów żydowskiego pochodzenia planuje zamach na Hitlera.,war
slumdog millionaire,2008,"Opowieść o młodym chłopaku, który bierze udział w hinduskiej edycji ""Milionerów"".",drama
cast away,2000,"W wyniku katastrofy lotniczej inżynier firmy kurierskiej trafia na bezludną wyspę, gdzie musi przeżyć.",drama
gran torino,2008,"Walt Kowalski to emerytowany weteran żyjący we własnym poukładanym świecie. Jego spokój zostaje zburzony przez nowych sąsiadów z Azji, których syn spróbuje ukraść mu ulubione auto.",drama
the shining,1980,Jack podejmuje pracę stróża odciętego od świata hotelu Overlook. Wkrótce idylla zamienia się w koszmar. ,horror
the da vinci code,2006,Ekranizacja powieści Dana Browna. Tajemnicze morderstwo w Luwrze staje się kluczem do rozwiązania jednej z największych zagadek strzeżonych przez tajemnicze stowarzyszenie.,thriller
django unchained,2012,"Łowca nagród Schultz i czarnoskóry niewolnik Django wyruszają w podróż, aby odbić żonę tego drugiego z rąk bezlitosnego Calvina Candie'ego.",western
scent of a woman,1992,Niewidomy emerytowany pułkownik Frank Slade staje się najlepszym nauczycielem życia dla nieśmiałego studenta.,drama
the devils advocate,1997,"Kevin Lomax - wybitny adwokat, skuszony intratną propozycją pracy, przeprowadza się do Nowego Jorku. Nie zdaje sobie jednak sprawy z tego, kim jest jego chlebodawca.",thriller
american history x,1998,"Były neonazista po wyjściu z więzienia stara się przekonać młodszego brata, by nie podążał jego śladem.",drama
interstellar,2014,"Byt ludzkości na Ziemi dobiega końca wskutek zmian klimatycznych. Grupa naukowców odkrywa tunel czasoprzestrzenny, który umożliwia poszukiwanie nowego domu.",sci-fi
the departed,2006,Tajny policjant w szeregach grupy przestępczej i informator mafii w bostońskiej jednostce dochodzeniowej toczą ze sobą śmiertelną rozgrywkę.,crime
whats eating gilbert grape,1993,"Gilbert wiedzie nudne życie zajmując się swoim chorym umysłowo bratem, dwiema siostrami i otyłą matką. Dopiero poznanie Becky odmieni jego życie.",drama
dead poets society,1989,"Charyzmatyczny nauczyciel języka angielskiego w konserwatywnym liceum stara się wpoić uczniom miłość do poezji i ideę ""carpe diem"".",drama
the notebook,2004,Stary mężczyzna czyta chorej na Alzheimera kobiecie pamiętnik opisujący historię miłości dziewczyny z zamożnego domu i ubogiego pracownika tartaku. ,drama
braveheart,1995,Żona Williama Wallace'a zostaje zamordowana przez angielskich żołnierzy. Zrozpaczony Szkot mści się na oprawcach i prowadzi rodaków do walki o odzyskanie wolności. ,drama
philadelphia,1993,"Chorujący na AIDS prawnik zostaje zwolniony z pracy. Walcząc o godność, podaje do sądu byłych pracodawców.",drama
finding neverland,2004,"Historia przyjaźni pisarza Jamesa Barriego z wdową i jej czterema synami, którzy zainspirowali go do napisania ""Piotrusia Pana"".",drama
hooligans,2005,Matt Buckner po wyrzuceniu ze studiów przyjeżdża do siostry mieszkającej w Londynie. Tam wchodzi w środowisko kibiców lokalnych klubów piłkarskich.,drama
secret window,2004,"Uznany pisarz przenosi się na prowincję, by w spokoju tworzyć kolejne książki. Wkrótce odwiedzi go tajemniczy mężczyzna, który oskarży Raineya o plagiat.",thriller
million dollar baby,2004,Trzydziestolatka prosi emerytowanego trenera o pomoc w osiągnięciu sukcesu na ringu boksu zawodowego.,drama
hannibal,2001,"Dr Hannibal Lecter wraca do Ameryki, by odnowić kontakt z agentką Starling. Jego śladem podąża okaleczony przez niego i pałający żądzą zemsty Mason Verger. ",thriller
good will hunting,1997,"Will, matematyczny geniusz gardzący formalnym wykształceniem, zostaje oskarżony o pobicie policjanta. Profesor MIT, świadomy talentu chłopaka, proponuje mu, aby w zamian za zwolnienie z aresztu podjął naukę i terapię psychologiczną. ",drama
lord of war,2005,"Jurij Orłow, będąc świadkiem morderstwa, zostaje handlarzem bronią. Prowadząc swoją działalność, nieustannie ucieka przed agentem Interpolu, Jackiem Valentinem.",drama
mr. &amp; mrs. smith,2005,Para płatnych zabójców pracujących dla dwóch tajnych agencji wiedzie monotonne małżeńskie życie. Niespodziewanie dostają zlecenie na siebie nawzajem.,action
12 angry men,1957,Dwunastu przysięgłych ma wydać wyrok w procesie o morderstwo. Jeden z nich ma wątpliwości dotyczące winy oskarżonego.,drama
gone girl,2014,"W dniu piątej rocznicy ślubu Nick Dunne zgłasza policji, że jego żona zaginęła. Wraz upływem czasu i postępami śledztwa coraz więcej poszlak zaczyna go obciążać. ",thriller
catch me if you can,2002,"Oparta na faktach historia młodego fałszerza, który w latach 60., podając się za pilotów, lekarzy i profesorów, wyłudził z banków ponad 2,5 mln dolarów.",comedy
donnie darko,2001,"Donnie Darko, uważany za nastolatka z zaburzeniami osobowości, spotyka Franka - tajemniczą postać w kostiumie królika, która zaczyna manipulować jego życiem. ",drama
k-pax,2001,"Prot, pacjent szpitala psychiatrycznego, wierzy, że pochodzi z odległej planety K-PAX. Doktor Mark Powell stara się mu udowodnić, że nie jest to możliwe, ale wkrótce sam zaczyna mieć wątpliwości.",drama
300,2006,Opowieść o jednej z najsłynniejszych bitew w dziejach. Garstka Spartan staje przeciwko perskiej potędze.,drama
taxi driver,1976,"Nowojorski taksówkarz Travis Bickle podczas nocnej zmiany poznaje młodocianą prostytutkę, której pragnie pomóc. ",drama
blood diamond,2006,"Przemytnik z RPA i rybak z ludu Mende wyruszają na poszukiwanie różowego diamentu, który mógłby zmienić ich życie. Tłem akcji jest wojna domowa w Sierra Leone w latach 90. XX wieku.",drama
the help,2011,Lata 60. XX wieku. Początkująca dziennikarka spisuje historie czarnoskórych służących wywołując skandal wśród wyższych sfer. ,drama
taken,2008,"Bryan, były agent służb specjalnych, rusza do Paryża, by ratować swoją 17-letnią córkę porwaną przez gang handlujący kobietami.",thriller
prisoners,2013,Sześcioletnia córka Kellera Dovera i jej koleżanka zostają uprowadzone. Zirytowany bezradnością policji ojciec bierze sprawy w swoje ręce.,thriller
mis,1980,"Pełne paradoksów i komizmu życie prezesa klubu sportowego ""Tęcza"" w czasach PRL-u.",comedy
now you see me,2013,Arcymistrzowie estradowych sztuczek wykorzystują iluzję do rabowania banków.,crime
trainspotting,1996,Narkoman Mark Renton postanawia zerwać z nałogiem. Jednak jego kumple tak łatwo na to nie pozwolą. ,drama
snatch,2000,"Historia złożona z kilku gangsterskich opowieści, które splatają się wokół kradzieży drogocennego diamentu.",comedy
1408,2007,"Adaptacja opowiadania Stephena Kinga. Mike Enslin, autor książek o zjawiskach paranormalnych, próbuje podważyć mit pokoju nr 1408.",horror
the game,1997,"W dniu 48. urodzin Nicholas Van Orton zostaje zaproszony do tajemniczej gry, która odmienia jego monotonne życie.",thriller
american pie,1999,Grupa licealistów pragnie do końca szkoły stracić dziewictwo i wkroczyć na studia jako pełnoprawni mężczyźni. Nie jest to jednak łatwe zadanie.,comedy
symetria,2003,Młody mężczyzna zostaje niesłusznie skazany za rzekomą napaść na staruszkę. W więzieniu stara się dołączyć do grupy grypsujących. ,drama
sin city,2005,"Trzy historie, których akcja rozgrywa się w Basin City - Mieście Grzechu - będącym siedliskiem prostytutek, przestępców i skorumpowanych obrońców prawa.",crime
room,2015,"Pięcioletni Jack od urodzenia mieszka z mamą w niewielkim pomieszczeniu, które nazywają Pokojem. Chłopiec nie zdaje sobie sprawy, że istnieje świat na zewnątrz. ",drama
troy,2004,"Ekranizacja epopei Homera opowiadająca o walce Greków pod murami Troi, aby odbić porwaną królową Sparty.",drama
the martian,2015,Po nieudanej ekspedycji Mark zostaje sam na Marsie. Mimo znikomych zapasów oraz zerwanej łączności z dowództwem mężczyzna stara się przetrwać w trudnych warunkach.,sci-fi
the hateful eight,2015,"Dwaj łowcy głów, próbując znaleźć schronienie przed zamiecią śnieżną, trafiają do Wyoming, gdzie wplątani zostają w splot krwawych wydarzeń.",western
the great gatsby,2013,"Nowy Jork, rok 1922. Milioner Jay Gatsby spotyka po pięciu latach swoją wielką miłość, Daisy, z którą wcześniej rozdzieliły go koleje losu. ",drama
the reader,2008,"Berlin, 1958 rok. 15-letni Michael zakochuje się w dużo starszej od siebie Hannie. Po latach oboje będą musieli zmierzyć się z jej przeszłością.",drama
babel,2006,"Trzy historie, rozgrywające się w różnych krajach, połączone motywem problemów z komunikacją.",drama
red dragon,2002,"Kiedy w sprawie psychopatycznego zabójcy policja okazuje się bezradna, agent FBI prosi o pomoc pacjenta więziennego centrum psychiatrycznego, skazanego na dożywocie za wielokrotne morderstwa i kanibalizm. ",thriller
drive,2011,Bezimienny kierowca postanawia pomóc mężowi swojej sąsiadki w anulowaniu długu u groźnych bandytów.,action
sleepy hollow,1999,"Nowojorski policjant przybywa do małej osady, by rozwiązać sprawę tajemniczych morderstw dokonywanych rzekomo przez jeźdźca bez głowy.",horror
mystic river,2003,"Adaptacja powieści Dennisa Lehane'a. Życie trzech przyjaciół zmienia się, gdy jeden z nich wsiada do niewłaściwego samochodu. Po 25 latach ich drogi znowu się krzyżują.",thriller
the hangover part ii,2011,"Kontynuacja ""Kac Vegas"". Czterech przyjaciół udaje się w podróż do egzotycznej Tajlandii na ślub jednego z nich. Spokojny wieczór kawalerski wymyka się spod kontroli.",comedy
the mist,2007,Adaptacja opowiadania Stephena Kinga. W gęstej i nieprzeniknionej mgle na ludzi zaczynają polować tajemnicze istoty.,horror
skyfall,2012,Lojalność agenta 007 wobec M zostaje wystawiona na próbę po ataku na siedzibę MI6 i kradzieży tajnych danych. Trop wiedzie do osoby z przeszłości szefowej brytyjskiego wywiadu. ,thriller
misery,1990,"Ekranizacja powieści Stephena Kinga. Kiedy autor popularnej serii książek ulega wypadkowi, pomocy udziela mu była pielęgniarka, która okazuje się być jego fanką.",thriller
"three billboards outside ebbing, missouri",2017,"Samotna matka, która straciła córkę w wyniku morderstwa, wynajmuje trzy tablice reklamowe i umieszcza na nich prowokacyjny przekaz.",drama
the last samurai,2003,"Kapitan Nathan Algren w niewoli u samurajów poznaje ich zwyczaje i znajduje spokój, którego od dawna szukał po wojnach z Indianami.",drama
crash,2004,W ciągu 36 godzin losy nieznanych sobie mieszkańców Los Angeles niespodziewanie się krzyżują.,drama
law abiding citizen,2009,"Kiedy żona i córka Clyde'a Sheltona zostają brutalnie zamordowane, a ich zabójca unika kary, bohater przygotowuje plan zemsty nie tylko na oprawcach, ale i wymiarze sprawiedliwości.",thriller
casino royale,2006,"Po otrzymaniu statusu agenta 00 James Bond dostaje pierwsze ważne zadanie, w którym pomóc ma mu piękna Vesper Lynd. Jego przeciwnikiem jest bankier terrorystów Le Chiffre.",thriller
changeling,2008,"Los Angeles, 1928 rok. Christine wychodzi do pracy, zostawiając kilkuletniego syna w domu. Gdy wraca, dziecka nie ma.",drama
lejdis,2008,"Cztery bohaterki prowadzą bogate w niespodzianki życie. Ich przyjaźń sprawia, że łatwiej przebrnąć im przez pułapki zastawiane przez los.",comedy
ace ventura: pet detective,1994,Detektyw specjalizujący się w odnajdywaniu zaginionych zwierząt poszukuje ukradzionego delfina – maskotki drużyny futbolowej.,comedy
spotlight,2015,Dziennikarze bostońskiej gazety trafiają na trop wielkiego pedofilskiego skandalu w Kościele rzymskokatolickim.,drama
the fast and the furious,2001,"Policjant przenika do grupy organizującej nielegalne wyścigi samochodowe. Sytuacja komplikuje się, gdy poznaje bliżej siostrę lidera przestępców.",action
pay it forward,2000,"Chłopiec, który w ramach zadania domowego musiał pomóc trzem osobom, uruchamia łańcuszek szczęścia. Niespodziewanie plan wymyka się spod kontroli.",drama
hachi: a dogs tale,2009,Profesor Parker Wilson poszukuje domu dla bezdomnego psa. Wkrótce między nim a zwierzęciem rodzi się niezwykła więź. ,drama
bridget joness diary,2001,"Ekranizacji powieści Helen Fielding. 32-letnia Bridget Jones zaczyna prowadzić intymny dziennik, który pomaga jej odmienić swoje życie.",comedy
the terminal,2004,"Gdy Viktor Navorski, turysta z Europy Wschodniej, przylatuje do Nowego Jorku, w jego ojczyźnie ma miejsce zamach stanu. Amerykańskie władze nie uznają paszportu mężczyzny, więc miejscem przymusowego pobytu staje się dla niego hala terminalu.",comedy
psycho,1960,Dziewczyna uciekająca ze skradzionymi pieniędzmi zatrzymuje się w pensjonacie prowadzonym przez młodego Normana Batesa.,thriller
wszyscy jestesmy chrystusami,2006,"Sylwester opowiada swojemu ojcu o cierpieniu jakie przechodził, kiedy ten pił.",drama
the transporter,2002,Frank Martin pracuje jako kurier dla organizacji przestępczych. Podczas transportu kolejnej przesyłki wplątuje się w niebezpieczną intrygę. ,action
ted,2012,"John ma 35 lat i chce się wreszcie ustatkować. Cały czas na złą drogę sprowadza go jednak jego pluszowy miś, który ożył dzięki wypowiedzianemu w dzieciństwie życzeniu.",comedy
dumb &amp; dumber,1994,"Dwóch przyjaciół przemierza drogi i miasta Ameryki, by oddać zgubioną przez atrakcyjną kobietę walizkę.",comedy
raiders of the lost ark,1981,"Rok 1936. Na zlecenie służb specjalnych amerykański archeolog, Indiana Jones, wyrusza do Egiptu, by odnaleźć legendarną Arkę Przymierza. ",adventure
the life of david gale,2003,"Walczący o zniesienie kary śmierci profesor teksańskiego uniwersytetu, David Gale, zostaje aresztowany za zgwałcenie i zamordowanie koleżanki. ",drama
testosteron,2007,Grupa podchmielonych mężczyzn na niedoszłym weselu dzieli się swoimi przemyśleniami na temat kobiet i miłości.,comedy
awakenings,1990,"Oparta na prawdziwych wydarzeniach opowieść o lekarzu, który za pomocą eksperymentalnego leku przywracał do świadomości pogrążonych w śpiączce pacjentów.",drama
heat,1995,Zawodowy przestępca Neil McCauley organizuje zbrojny napad na opancerzoną furgonetkę. Śledztwo w tej sprawie prowadzi Vincent Hanna.,thriller
roza,2011,Były AK-owiec i wdowa po żołnierzu Wehrmachtu próbują wspólnie stawić czoło okrutnej rzeczywistości. ,drama
the bourne identity,2002,"Jason Bourne w wyniku wypadku traci pamięć. Wszystko wskazuje na to, że był członkiem tajnego programu CIA.",thriller
split,2016,"Mężczyzna o mnogiej osobowości porywa trzy nastolatki. Okazuje się, że jedna z jaźni zaczyna dominować nad innymi.",thriller
brokeback mountain,2005,"Historia dwóch mężczyzn, którzy z sentymentem wracają do malowniczego Brokeback, gdzie przed laty połączyła ich wielka miłość. ",drama
